version,dataset,rows,cv_rmse,cv_mae,cv_r2,public_score,rmse_vs_best_public,mae_vs_best_public,r2_vs_best_public
sub_v008_catboost_alpha_pack,Full cleaned train,19700,0.23164778640435246,0.17673736118136243,0.03463008143352864,0.38308,-0.00015697243059312194,0.00013165475824297723,-0.005602786825323516
sub_v010_catboost_alpha_pack_dropmissing,Drop missing train,15518,0.23180475883494558,0.17660570642311946,0.04023286825885215,0.38176,0.0,0.0,0.0
sub_v011_catboost_alpha_pack_dropmissing_invalid,Drop missing + invalid train,14921,0.23162834341472624,0.1767132396544392,0.03962422453198171,,-0.00017641542021934464,0.00010753323131973413,-0.0006086437268704448
