version,dataset,features,rows,cv_rmse,cv_mae,cv_r2,prediction_std,public_score,rmse_vs_best_public,mae_vs_best_public,r2_vs_best_public,pred_std_vs_best_public
sub_v008_catboost_alpha_pack,Full cleaned train,35 Alpha Pack,19700,0.23164778640435246,0.17673736118136243,0.03463008143352864,0.042242,0.38308,-0.00015697243059312194,0.00013165475824297723,-0.005602786825323516,-0.0025098430874942526
sub_v010_catboost_alpha_pack_dropmissing,Drop missing train,35 Alpha Pack,15518,0.23180475883494558,0.17660570642311946,0.04023286825885215,0.044751843087494254,0.38176,0.0,0.0,0.0,0.0
sub_v011_catboost_alpha_pack_dropmissing_invalid,Drop missing + invalid train,35 Alpha Pack,14921,0.23162834341472624,0.1767132396544392,0.03962422453198171,0.04174568759804983,0.38309,-0.00017641542021934464,0.00010753323131973413,-0.0006086437268704448,-0.003006155489444426
sub_v012_catboost_full_plus_alpha_dropmissing,Drop missing train,Full + Alpha (70 features),15518,0.2319484336072119,0.17671839229429026,0.03904856170750963,0.04360086243404623,,0.00014367477226631675,0.00011268587117080342,-0.0011843065513425233,-0.0011509806534480277
